"orf","sample","coverage","D01","D02","D03","D04","D05","D06","T00","T01","T02","T03","T04"
"R05D06_VL46-0475-05292019|NODE_13_length_2964_cov_42.279821_690_6_1|TLMV","R05","42.279821",NA,NA,NA,NA,NA,0.000256098749327312,NA,NA,0.00015984643046595,0.00155945627710878,NA
"R05D06_VL46-0475-05292019|NODE_14_length_2962_cov_68.930513_575_2_1|TLMV","R05","68.930513",NA,NA,NA,NA,NA,0.000392717393805936,NA,NA,0.000172029847422196,NA,NA
"R05D06_VL46-0475-05292019|NODE_15_length_2955_cov_57.094483_585_3_1|TLMV","R05","57.094483",NA,NA,NA,NA,NA,0.000353053916376658,NA,NA,NA,NA,0.00110912264421908
"R05D06_VL46-0475-05292019|NODE_18_length_2926_cov_195.617207_267_3_1|TLMV","R05","195.617207",NA,NA,NA,NA,NA,0.00117815218141781,NA,NA,0.00280340424163225,NA,NA
"R05D06_VL46-0475-05292019|NODE_19_length_2914_cov_86.052816_328_4_1|TLMV","R05","86.052816",NA,NA,NA,NA,NA,0.000464209587690807,NA,NA,0.000222956530299305,0.00160924829510644,0.00575467842071541
"R05D06_VL46-0475-05292019|NODE_2_length_5904_cov_48.283467_571_1_1|TLMV","R05","48.283467",NA,NA,NA,NA,NA,0.000261974820057576,3.25145549082579e-06,NA,0.000252440399333421,NA,6.2691942290272e-05
"R05D06_VL46-0475-05292019|NODE_22_length_2854_cov_402.382637_334_4_1|TLMV","R05","402.382637",NA,NA,NA,NA,NA,0.00223143785981752,NA,NA,9.64926622934698e-05,0.000387931841713107,NA
"R05D06_VL46-0475-05292019|NODE_23_length_2849_cov_307.713672_184_1_1|TLMV","R05","307.713672",NA,NA,NA,NA,NA,0.00191853709343099,NA,NA,0.00209847173654384,0.000351070885105885,NA
"R05D06_VL46-0475-05292019|NODE_24_length_2846_cov_260.977069_635_5_1|TLMV","R05","260.977069",NA,NA,NA,NA,NA,0.00169426706055927,NA,NA,7.79738685199756e-06,NA,NA
"R05D06_VL46-0475-05292019|NODE_25_length_2834_cov_6.994602_374_2_1|TLMV","R05","6.994602",NA,NA,NA,NA,NA,4.01531499901331e-05,NA,NA,0.0150548046644943,0.00157521136340058,NA
"R05D06_VL46-0475-05292019|NODE_26_length_2803_cov_57.723071_318_6_1|TLMV","R05","57.723071",NA,NA,NA,NA,NA,0.00033101865113817,NA,NA,0.000321398539305774,0.000939805760594627,NA
"R05D06_VL46-0475-05292019|NODE_27_length_2797_cov_259.733771_314_5_1|TLMV","R05","259.733771",NA,NA,NA,NA,NA,0.00167859753861191,NA,NA,8.84516071023473e-05,0.00149093651502842,NA
"R05D06_VL46-0475-05292019|NODE_29_length_2790_cov_141.363437_313_4_1|TLMV","R05","141.363437",NA,NA,NA,NA,NA,0.000240918899940799,NA,NA,NA,0.000502379166662951,0.000385541636287311
"R05D06_VL46-0475-05292019|NODE_3_length_3883_cov_22290.872780_895_4_1|TTV_Clade5","R05","22290.872780",NA,NA,NA,NA,0.00394908461887162,0.20080247539273,NA,NA,0.0105610731543524,NA,NA
